Смартфон,Цветной дисплей,Модель,Бренд,Память (ГБ),ОС,Диагональ,Число камер,Основная камера (МПикс),Количество SIM-карт,Высота (мм),Ширина (мм),Глубина (мм),Гарантия,Емкость аккумулятора (мАч),Цена
да,да,iPhone 13 Pro Max 128,Apple,128,iOS,6.7,3,12/12/12,2,160.8,78.1,7.65,1,4325,139999
да,да,iPhone 13 Pro Max 256,Apple,256,iOS,6.7,3,12/12/12,2,160.8,78.1,7.65,1,4325,159999
да,да,iPhone 13 Pro Max 512,Apple,512,iOS,6.7,3,12/12/12,2,160.8,78.1,7.65,1,4325,194999
да,да,iPhone 11 128GB,Apple,128,iOS,6.1,2,12/12,2,150.9,75.7,8.3,1,3110,62999
да,да,iPhone 11 64GB,Apple,64,iOS,6.1,2,12/12,2,164.9,77.07,9,1,3110,57999
да,да,Redmi 9A,Xiaomi,32,Android,6.53,1,13,2,164.9,77.07,9,1,5000,8999
да,да,Samsung Galaxy A13,Samsung,64,Android,6.6,4,50/5/2/2,2,165.1,76.4,8.8,1,5000,21999
да,да,Xiaomi 11 Lite 5G,Xiaomi,128,Android,6.55,3,64/8/5,2,160.5,75.7,6.8,1,4250,29999
да,да,HUAWEI nova 9 SE,Huawei,128,Android,6.78,4,108/8/2/2,2,164.64,7.94,75.55,1,4000,24999
да,да,Samsung Galaxy A23,Samsung,128,Android,6.6,4,50/5/2/2,2,164.5,76.9,8.4,1,5000,27999
да,да,HUAWEI P50 Pro,Huawei,256,Android,6.6,4,50/40/64/13,2,158.8,72.8,8.5,1,4360,114999
да,да,Honor X8,Honor,128,Android,6.7,4,64/5,2,163.4,74.7,7.45,1,4000,25999
да,да,Honor 50,Honor,256,Android,6.57,4,108/8/2/2,2,159.96,73.76,7.78,1,4300,43999
да,да,Nokia 2.4,Nokia,32,Android,6.51,2,13/2,2,165.85,76.3,8.69,1,4500,9999
да,да,Nokia C20,Nokia,16,Android,6.517,1,5,2,169.9,77.9,8.8,1,3000,8999
да,нет,Digma Linx A106,Digma,0.032,,1.44,0,,2,106,46,15,1,600,539
да,нет,teXet TM-B322,teXet,0.032,,1.44,0,,2,112.5,48,12.8,1,600,890
да,нет,Nokia 1202,Nokia,0.004,,1.3,0,,1,105.3,45,13,1,860,2090
да,да,INOI 288S,INOI,0.032,,2,1,0.3,2,115,49,16,1,800,3599
да,да,BQ 2435,BQ,0.032,,2.4,1,0.3,2,104.1,52,16.2,1,800,1799
да,да,Nokia 7230,Nokia,0.045,,2.4,1,3.15,1,98,48,14.8,1,860,4990
да,да,teXet TM-204,teXet,0.032,,2.4,1,0.3,2,102,52,16,1,800,1999
да,да,F+ Flip 2,F+,0.032,,2.4,1,0.08,2,106.3,51.5,15.2,1,750,2099
да,да,Philips E255,Philips,0.032,,2.4,1,0.3,2,102,53,15.6,1,1050,2999
да,да,Panasonic KX-TU456,Panasonic,0.032,,2.4,1,0.3,1,106,53,23,1,1000,4499
да,да,Digma Linx A172,Digma,0.032,,1.77,0,,2,106,46,15,1,600,889
да,да,Nokia 105DS,Nokia,0.032,,1.77,0,,2,119,49.2,14.4,1,800,1499
да,да,Philips Xenium E111,Philips,0.032,,1.77,0,,2,110,46.2,13.4,1,1000,1399
да,да,teXet TM-B227,teXet,0.032,,2.2,1,0.08,2,121.5,62,11.5,1,1500,2099
да,да,Panasonic TF200,Panasonic,0.032,,2.4,1,0.3,2,127,51.5,14.5,1,1000,2499
да,да,F+ F257,F+,0.032,,2.4,1,0.3,2,126.5,53.5,12.8,1,1000,999
